track_name,artist,album,duration_ms,genres,year
Love You So,Ron Holden,Love You So..,207840,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",1970
To Be With You,Mr. Big,Deep Cuts: The Best Of The Ballads,208067,"['desi pop', 'filmi', 'modern bollywood', 'sufi', 'tamil pop']",1970
Les roses blanches,Berthe Sylva,Les roses blanches (18 chansons françaises),208120,"['melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",1970
Be My Love,Mario Lanza,The Definitive Collection,208533,"['alternative rock', 'athens indie', 'classic rock', 'permanent wave', 'pop rock', 'rock']",1970
Prisoner of Love,Various Artists,Top Hits Of The 1930s,208533,"['alternative metal', 'nu metal', 'post-grunge']",1970
It Happened In Monterey,Various Artists,Top Hits Of The 1930s,208840,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",1970
Candy Shop,50 Cent,The Massacre,209107,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",1970
One More Try,Various Artists,Vows Of Love,209227,"['bedroom pop', 'pop']",1970
Seasons in the Sun,Various Artists,Radio Hits Of the '70s,209347,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",1970
You're Beautiful,James Blunt,Back to Bedlam,209493,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",1970
Vision of Love,Mariah Carey,#1 to Infinity,209760,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",1970
Unbelievable,EMF,Schubert Dip,209813,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",1970
Fallin',Alicia Keys,Songs In A Minor (Expanded Edition),210200,"['dance pop', 'pop', 'post-teen pop']",1970
Just One More Chance,Various Artists,Top Hits Of The 1930s,210400,"['latin', 'latin arena pop', 'latin pop', 'rock en espanol', 'tropical']",1970
Check On It (feat. Bun B & Slim Thug),Beyoncé,B'Day,210453,"['ccm', 'christian music', 'russian ccm', 'world worship', 'worship']",1970
Starships,Nicki Minaj,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),210627,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino', 'tropical']",1970
Stardust - Remastered 2002,Hoagy Carmichael,Stardust Melody,210773,"['francoton', 'french hip hop', 'french pop', 'rap conscient']",1970
Heart Attack,Demi Lovato,Demi,210840,['korean ost'],1970
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II,210960,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",1970
The Way We Were,Barbra Streisand,The Way We Were,211093,"['latin', 'latin arena pop', 'latin pop']",1970
All 4 Love,Color Me Badd,C.M.B.,211493,"['afrofuturismo brasileiro', 'pop nacional', 'r&b brasileiro']",1970
Get Busy,Sean Paul,Dutty Rock,211666,"['brooklyn drill', 'melodic rap', 'nyc rap']",1970
Isn't It Romantic,Various Artists,Top Hits Of The 1930s,211907,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",1970
Don't Know Much (with Aaron Neville),Various Artists,Rhino Hi-Five: Valentine's Day Songs 2,211973,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",1970
My Eyes Adored You,Frankie Valli,Closeup,212013,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",1970
I Like Dreamin',Kenny Nolan,All-Time Greatest Performances,212067,"['pagode', 'pagode novo', 'sertanejo pop']",1970
Faded,Alan Walker,Different World,212107,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']",1970
TSOP (The Sound of Philadelphia) (feat. The Three Degrees),MFSB,End of Phase I - A Collection of Greatest Hits,212107,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",1970
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,Greatest,212253,"['canadian pop punk', 'canadian punk', 'canadian rock', 'pop punk']",1970
Smack That,Akon,Konvicted,212360,"['indie rock', 'modern rock']",1970
Star Dust,Artie Shaw,Star Dust (The Bluebird Recordings in Chronological Order Vol. 07 - 1940),212774,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",1970
Never Gonna Give You Up,Rick Astley,Whenever You Need Somebody,212827,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']",1970
Woman - Remastered 2010,John Lennon,Double Fantasy Stripped Down,212933,"['italian hip hop', 'trap italiana']",1970
Lost in Your Eyes,Debbie Gibson,Electric Youth,213000,"['adult standards', 'classic rock', 'mellow gold', 'soft rock']",1970
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,213520,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",1970
Until The Real Thing Comes Along,Various Artists,Top Hits Of The 1930s,213733,"['funk carioca', 'funk ostentacao', 'funk paulista']",1970
Stand Up,Ludacris,Chicken - N - Beer,213760,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",1970
Rockin' Chair,Various Artists,Top Hits Of The 1930s,213827,"['anime', 'j-pop']",1970
You're Driving Me Crazy,Various Artists,Top Hits Of The 1930s,213840,"['contemporary country', 'country', 'country road', 'pop rock']",1970
Baby Come Back,Groove Armada,Late Night Tales: Music For Pleasure,214373,"['desi pop', 'gujarati pop', 'modern bollywood']",1970
Kiss You All Over,Exile,Greatest Hits,214400,"['british soul', 'dance pop', 'europop', 'pop', 'post-teen pop', 'talent show', 'urban contemporary']",1970
